title,category,domain,description,more_info,recommended_action,link,apis
SQL Server TLS Version,RDS,Databases,Ensures RDS SQL Servers do not allow outdated TLS certificate versions,TLS 1.2 or higher should be used for all TLS connections to RDS. A parameter group can be used to enforce this connection type.,Create a parameter group that contains the TLS version restriction and limit access to TLS 1.2 or higher,https://aws.amazon.com/about-aws/whats-new/2020/07/amazon-rds-for-sql-server-supports-disabling-old-versions-of-tls-and-ciphers/,"'RDS:describeDBParameterGroups', 'RDS:describeDBParameters'"
RDS Snapshot Publicly Accessible,RDS,Databases,Ensure that Amazon RDS database snapshots are not publicly exposed.,"If an RDS snapshot is exposed to the public, any AWS account can copy the snapshot and create a new database instance from it. '",Ensure Amazon RDS database snapshot is not publicly accessible and available for any AWS account to copy or restore it.,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_ShareSnapshot.html,"'RDS:describeDBSnapshots', 'RDS:describeDBSnapshotAttributes'"
RDS IAM Database Authentication Enabled,RDS,Databases,Ensures IAM Database Authentication is enabled for RDS database instances to manage database access,AWS Identity and Access Management (IAM) can be used to authenticate to your RDS DB instances.,Modify the PostgreSQL and MySQL type RDS instances to enable IAM database authentication.,https://docs.aws.amazon.com/neptune/latest/userguide/iam-auth.html,'RDS:describeDBInstances'
RDS DocumentDB Minor Version Upgrade,RDS,Databases,Ensures Auto Minor Version Upgrade is enabled on RDS and DocumentDB databases,"RDS supports automatically upgrading the minor version of the database, which should be enabled to ensure security fixes are quickly deployed.",Enable automatic minor version upgrades on RDS and DocumentDB databases,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_UpgradeDBInstance.Upgrading.html#USER_UpgradeDBInstance.Upgrading.AutoMinorVersionUpgrades,'RDS:describeDBInstances'
RDS Transport Encryption Enabled,RDS,Databases,Ensures RDS SQL Server instances have Transport Encryption enabled.,Parameter group associated with the RDS instance should have transport encryption enabled to handle encryption and decryption,Update the parameter group associated with the RDS instance to have rds.force_ssl set to true,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/UsingWithRDS.SSL.html,"'RDS:describeDBInstances', 'RDS:describeDBParameters', 'RDS:describeDBParameterGroups'"
RDS Deletion Protection Enabled,RDS,Databases,Ensures deletion protection is enabled for RDS database instances.,Deletion protection prevents Amazon RDS instances from being deleted accidentally by any user.,Modify the RDS instances to enable deletion protection.,https://aws.amazon.com/about-aws/whats-new/2018/09/amazon-rds-now-provides-database-deletion-protection/,'RDS:describeDBInstances'
RDS Snapshot Encryption,RDS,Databases,Ensures encryption is enabled for RDS snapshots to ensure encryption of data at rest.,AWS provides encryption for RDS snapshots which should be enabled to ensure that all data at rest is encrypted.,Copy the snapshot to a new snapshot that is encrypted and delete the old snapshot.,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Overview.Encryption.html,'RDS:describeDBSnapshots'
RDS Multiple AZ,RDS,Databases,Ensures that RDS instances are created to be cross-AZ for high availability.,Creating RDS instances in a single AZ creates a single point of failure for all systems relying on that database. All RDS instances should be created in multiple AZs to ensure proper failover.,Modify the RDS instance to enable scaling across multiple availability zones.,http://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Concepts.MultiAZ.html,'RDS:describeDBInstances'
RDS Restorable,RDS,Databases,Ensures RDS instances can be restored to a recent point,"AWS will maintain a point to which the database can be restored. This point should not drift too far into the past, or else the risk of irrecoverable data loss may occur.","Ensure the instance is running and configured properly. If the time drifts too far, consider opening a support ticket with AWS.",http://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_PIT.html,"'RDS:describeDBInstances', 'RDS:describeDBClusters'"
RDS Logging Enabled,RDS,Databases,Ensures logging is configured for RDS instances,Logging database level events enables teams to analyze events for the purpose diagnostics as well as audit tracking for compliance purposes.,Modify the RDS instance to enable logging as required.,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_LogAccess.html,"'RDS:describeDBInstances', 'RDS:describeDBEngineVersions'"
RDS Encryption Enabled,RDS,Databases,Ensures at-rest encryption is setup for RDS instances,AWS provides at-read encryption for RDS instances which should be enabled to ensure the integrity of data stored within the databases.,"RDS does not currently allow modifications to encryption after the instance has been launched, so a new instance will need to be created with encryption enabled.",http://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Overview.Encryption.html,"'RDS:describeDBInstances', 'KMS:listAliases', 'KMS:listKeys', 'KMS:describeKey'"
RDS Automated Backups,RDS,Databases,Ensures automated backups are enabled for RDS instances,AWS provides a simple method of backing up RDS instances at a regular interval. This should be enabled to provide an option for restoring data in the event of a database compromise or hardware failure.,Enable automated backups for the RDS instance,http://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_WorkingWithAutomatedBackups.html,'RDS:describeDBInstances'
RDS Publicly Accessible,RDS,Databases,Ensures RDS instances are not launched into the public cloud,"Unless there is a specific business requirement, RDS instances should not have a public endpoint and should be accessed from within a VPC only.",Remove the public endpoint from the RDS instance,http://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_VPC.html,'RDS:describeDBInstances'
RDS CMK Encryption,RDS,Databases,Ensures RDS instances are encrypted with KMS Customer Master Keys(CMKs).,RDS instances should be encrypted with Customer Master Keys in order to have full control over data encryption and decryption.,"RDS does not currently allow modifications to encryption after the instance has been launched, so a new instance will need to be created with KMS CMK encryption enabled.",https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Overview.Encryption.html,"'RDS:describeDBInstances', 'KMS:listAliases'"
RDS Instance Has Tags,RDS,Databases,Ensure that AWS RDS instance have tags associated.,Tags help you to group resources together that are related to or associated with each other. It is a best practice to tag cloud resources to better organize and gain visibility into their usage.,Modify the RDS instance to add tags.,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_Tagging.html,'RDS:describeDBInstances'
HealthLake Data Store Encrypted,HealthLake,Content Delivery,Ensure that AWS HealthLake Data Store is using desired encryption level.,Amazon HealthLake is a Fast Healthcare Interoperability Resources (FHIR)-enabled patient Data Store that uses AWS-managed KMS keys for encryption. ',Create HealthLake Data Store with customer-manager keys (CMKs).,https://docs.aws.amazon.com/healthlake/latest/devguide/data-protection.html,"'HealthLake:listFHIRDatastores', 'KMS:describeKey', 'KMS:listKeys'"
XRay Encryption Enabled,XRay,Application Integration,Ensures CMK-based encryption is enabled for XRay traces.,"AWS XRay supports default encryption based on an AWS-managed KMS key as well as encryption using a customer managed key (CMK). For maximum security, the CMK-based encryption should be used.",Update XRay encryption configuration to use a CMK.,https://docs.aws.amazon.com/xray/latest/devguide/xray-console-encryption.html,"'XRay:getEncryptionConfig', 'KMS:listKeys', 'KMS:describeKey'"
API Gateway Private Endpoints,API Gateway,Availability,Ensures that Amazon API Gateway APIs are only accessible through private endpoints.,API Gateway APIs should be only accessible through private endpoints to ensure API security.,Set API Gateway API endpoint configuration to private,https://aws.amazon.com/blogs/compute/introducing-amazon-api-gateway-private-endpoints,'APIGateway:getRestApis'
API Stage-Level Cache Encryption,API Gateway,Availability,Ensure that your Amazon API Gateway REST APIs are configured to encrypt API cached responses.,It is strongly recommended to enforce encryption for API cached responses in order to protect your data from unauthorized access.,Modify API Gateway API stages to enable encryption on cache data,https://docs.aws.amazon.com/apigateway/latest/developerguide/data-protection-encryption.html,"'APIGateway:getRestApis', 'APIGateway:getStages'"
API Gateway CloudWatch Logs,API Gateway,Availability,Ensures that Amazon API Gateway API stages have Amazon CloudWatch Logs enabled.,API Gateway API stages should have Amazon CloudWatch Logs enabled to help debug issues related to request execution or client access to your API.,Modify API Gateway API stages to enable CloudWatch Logs,https://docs.aws.amazon.com/apigateway/latest/developerguide/set-up-logging.html,"'APIGateway:getRestApis', 'APIGateway:getStages'"
API Gateway Certificate Rotation,API Gateway,Availability,Ensures that Amazon API Gateway APIs have certificates with expiration date more than the rotation limit.,API Gateway APIs should have certificates with long term expiry date to avoid API insecurity after certificate expiration.,Rotate the certificate attached to API Gateway API,https://docs.aws.amazon.com/apigateway/latest/developerguide/getting-started-client-side-ssl-authentication.html,"'APIGateway:getRestApis', 'APIGateway:getStages', 'APIGateway:getClientCertificate'"
API Gateway WAF Enabled,API Gateway,Availability,Ensures that API Gateway APIs are associated with a Web Application Firewall.,API Gateway APIs should be associated with a Web Application Firewall to ensure API security.,Associate API Gateway API with Web Application Firewall,https://docs.aws.amazon.com/apigateway/latest/developerguide/apigateway-control-access-aws-waf.html,"'APIGateway:getRestApis', 'APIGateway:getStages'"
API Gateway Client Certificate,API Gateway,Availability,Ensures that Amazon API Gateway API stages use client certificates.,API Gateway API stages should use client certificates to ensure API security authorization.,Attach client certificate to API Gateway API stages,https://docs.aws.amazon.com/apigateway/latest/developerguide/getting-started-client-side-ssl-authentication.html,"'APIGateway:getRestApis', 'APIGateway:getStages'"
API Gateway Content Encoding,API Gateway,Availability,Ensures that Amazon API Gateway APIs have content encoding enabled.,API Gateway API should have content encoding enabled to enable compression of response payload.,Enable content encoding and set minimum compression size of API Gateway API response,https://docs.aws.amazon.com/apigateway/latest/developerguide/api-gateway-gzip-compression-decompression.html,'APIGateway:getRestApis'
API Gateway Tracing Enabled,API Gateway,Availability,Ensures that Amazon API Gateway API stages have tracing enabled for AWS X-Ray.,API Gateway API stages should have tracing enabled to send traces to AWS X-Ray for enhanced distributed tracing.,Enable tracing on API Gateway API stages,https://docs.aws.amazon.com/xray/latest/devguide/xray-services-apigateway.html,"'APIGateway:getRestApis', 'APIGateway:getStages'"
API Gateway Response Caching,API Gateway,Availability,Ensure that response caching is enabled for your Amazon API Gateway REST APIs.,"A REST API in API Gateway is a collection of resources and methods that are integrated with backend HTTP endpoints, Lambda functions, or other AWS services.You can enable API caching in Amazon API Gateway to cache your endpoint responses. '",Modify API Gateway API stages to enable API cache,https://docs.aws.amazon.com/apigateway/latest/developerguide/api-gateway-caching.html,"'APIGateway:getRestApis', 'APIGateway:getStages'"
API Gateway Detailed CloudWatch Metrics,API Gateway,Availability,Ensures that API Gateway API stages have detailed CloudWatch metrics enabled.,API Gateway API stages should have detailed CloudWatch metrics enabled to monitor logs and events.,Add CloudWatch role ARN to API settings and enabled detailed metrics for each stage,https://docs.aws.amazon.com/apigateway/latest/developerguide/http-api-metrics.html,"'APIGateway:getRestApis', 'APIGateway:getStages'"
EFS CMK Encrypted,EFS,Storage,Ensure EFS file systems are encrypted using Customer Master Keys (CMKs).,EFS file systems should use KMS Customer Master Keys (CMKs) instead of AWS managed keys for encryption in order to have full control over data encryption and decryption.,Encryption at rest key can only be configured during file system creation. Encryption of data in transit is configured when mounting your file system. 1. Backup your data in not encrypted efs 2. Recreate the EFS and use KMS CMK for encryption of data at rest.,https://docs.aws.amazon.com/efs/latest/ug/encryption-at-rest.html,"'EFS:describeFileSystems', 'KMS:listAliases'"
EFS Has Tags,EFS,Storage,Ensure that AWS EFS file systems have tags associated.,Tags help you to group resources together that are related to or associated with each other. It is a best practice to tag cloud resources to better organize and gain visibility into their usage.,Modify EFS file systems to add tags.,https://docs.aws.amazon.com/efs/latest/ug/manage-fs-tags.html,'EFS:describeFileSystems'
EFS Encryption Enabled,EFS,Storage,Ensures that EFS volumes are encrypted at rest,EFS offers data at rest encryption using keys managed through AWS Key Management Service (KMS).,Encryption of data at rest can only be enabled during file system creation. Encryption of data in transit is configured when mounting your file system. 1. Backup your data in not encrypted efs 2. Recreate the EFS and select \'Enable encryption of data at rest\',https://aws.amazon.com/blogs/aws/new-encryption-at-rest-for-amazon-elastic-file-system-efs/,'EFS:describeFileSystems'
Notebook Data Encrypted,SageMaker,Compute,Ensure Notebook data is encrypted,An optional encryption key can be supplied during Notebook Instance creation.,An existing KMS key should be supplied during Notebook Instance creation.,https://docs.aws.amazon.com/sagemaker/latest/dg/API_CreateNotebookInstance.html#API_CreateNotebookInstance_RequestSyntax,'SageMaker:listNotebookInstances'
Notebook instance in VPC,SageMaker,Compute,Ensure that Amazon SageMaker Notebook instances are launched within a VPC.,"Launching instances can bring multiple advantages such as better networking infrastructure, much more flexible control over access security. Also it makes it possible to access VPC-only resources such as EFS file systems.",Migrate Notebook instances to exist within a VPC,https://docs.aws.amazon.com/sagemaker/latest/dg/API_CreateNotebookInstance.html#API_CreateNotebookInstance_RequestSyntax,'SageMaker:listNotebookInstances'
Notebook Direct Internet Access,SageMaker,Compute,Ensure Notebook Instance is not publicly available.,SageMaker notebooks should not be exposed to the Internet. Public availability can be configured via the DirectInternetAccess attribute.,Disable DirectInternetAccess for each SageMaker notebook.,https://docs.aws.amazon.com/sagemaker/latest/dg/appendix-additional-considerations.html#appendix-notebook-and-internet-access,'SageMaker:listNotebookInstances'
ACM Certificate Expiry,ACM,Ensure AWS is able to renew the certificate via email or DNS validation of the domain.,Detect upcoming expiration of ACM certificates,Certificates that have expired will trigger warnings in all major browsers. AWS will attempt to automatically renew the certificate but may be unable to do so if email or DNS validation cannot be confirmed.,Ensure AWS is able to renew the certificate via email or DNS validation of the domain.,https://docs.aws.amazon.com/acm/latest/userguide/managed-renewal.html,"'ACM:listCertificates', 'ACM:describeCertificate'"
ACM Single Domain Name Certificates,ACM,Configure ACM managed certificates to use single name domain instead of wildcards.,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,Using wildcard certificates can compromise the security of all sites i.e. domains and subdomains if the private key of a certificate is hacked. So it is recommended to use ACM single domain name certificates instead of wildcard certificates.,Configure ACM managed certificates to use single name domain instead of wildcards.,https://docs.aws.amazon.com/acm/latest/userguide/acm-certificate.html,"'ACM:listCertificates', 'ACM:describeCertificate'"
ACM Certificate Validation,ACM,Identity and Access management,ACM certificates should be configured to use DNS validation.,"With DNS validation, ACM will automatically renew certificates before they expire, as long as the DNS CNAME record is in place.",Configure ACM managed certificates to use DNS validation.,https://cloudsploit.com/remediations/aws/acm/acm-certificate-validation,"'ACM:listCertificates', 'ACM:describeCertificate'"
Workgroup Encrypted,Athena,Databases,Ensures Athena workgroups are configured to encrypt all data at rest.,Athena workgroups support full server-side encryption for all data at rest which should be enabled.,Enable encryption at rest for all Athena workgroups.,https://docs.aws.amazon.com/athena/latest/ug/encryption.html,"'Athena:listWorkGroups', 'Athena:getWorkGroup', 'STS:getCallerIdentity'"
Workgroup Enforce Configuration,Athena,Databases,Ensures Athena workgroups do not allow clients to override configuration options.,"Athena workgroups support the ability for clients to override configuration options, including encryption requirements. This setting should be disabled to enforce encryption mandates.",Disable the ability for clients to override Athena workgroup configuration options.,https://docs.aws.amazon.com/athena/latest/ug/workgroups-settings.html,"'Athena:listWorkGroups', 'Athena:getWorkGroup', 'STS:getCallerIdentity'"
Domain Privacy Protection,Route53,https://docs.aws.amazon.com/Route53/latest/DeveloperGuide/domain-privacy-protection.html,Ensure that Privacy Protection feature is enabled for your Amazon Route 53 domains.,Enabling the Privacy Protection feature protects against receiving spams and sharing contact information in response of WHOIS queries.,Enable Privacy Protection for Domain,https://docs.aws.amazon.com/Route53/latest/DeveloperGuide/domain-privacy-protection.html,"'Route53Domains:listDomains', 'Route53Domains:getDomainDetail'"
Domain Expiry,Route53,Reregister the expiring domain,Ensures domains are not expiring too soon,Expired domains can be lost and reregistered by a third-party.,Reregister the expiring domain,http://docs.aws.amazon.com/Route53/latest/DeveloperGuide/registrar.html,'Route53Domains:listDomains'
Domain Transfer Lock,Route53,Enable the transfer lock for the domain,Ensures domains have the transfer lock set,"To avoid having a domain maliciously transferred to a third-party, all domains should enable the transfer lock unless actively being transferred.",Enable the transfer lock for the domain,http://docs.aws.amazon.com/Route53/latest/DeveloperGuide/domain-transfer-from-route-53.html,'Route53Domains:listDomains'
Sender Policy Framework In Use,Route53,Updated the domain records to have SPF.,Ensure that Sender Policy Framework (SPF) is used to stop spammers from spoofing your AWS Route 53 domain.,The Sender Policy Framework enables AWS Route 53 registered domain to publicly state the mail servers that are authorized to send emails on its behalf.,Updated the domain records to have SPF.,https://docs.aws.amazon.com/Route53/latest/DeveloperGuide/rrsets-working-with.html,"'Route53:listHostedZones', 'Route53:listResourceRecordSets'"
Route53 Dangling DNS Records,Route53,Content Delivery,Ensures that AWS Route53 DNS records are not pointing to invalid/deleted EIPs.,AWS Route53 DNS records should not point to invalid/deleted EIPs to prevent malicious activities.,Delete invalid/dangling AWS Route53 DNS records,https://docs.aws.amazon.com/Route53/latest/DeveloperGuide/routing-to-aws-resources.html,"'Route53:listHostedZones', 'Route53:listResourceRecordSets', 'EC2:describeAddresses', 'S3:listBuckets'"
Sender Privacy Framework Record Present,Route53,The SPF record enables Route 53 registered domains to publicly state the mail servers that are authorized to send emails on its behalf.,Ensure that Route 53 hosted zones have a DNS record containing Sender Policy Framework (SPF) value set for each MX record available.,The SPF record enables Route 53 registered domains to publicly state the mail servers that are authorized to send emails on its behalf.,Add SPF records to the DNS records.,https://docs.aws.amazon.com/Route53/latest/DeveloperGuide/resource-record-sets-creating.html,"'Route53:listHostedZones', 'Route53:listResourceRecordSets'"
Domain Auto Renew,Route53,Enable auto renew for the domain,Ensures domains are set to auto renew through Route53,Domains purchased through Route53 should be set to auto renew. Domains that are not renewed can quickly be acquired by a third-party and cause loss of access for customers.,Enable auto renew for the domain,http://docs.aws.amazon.com/Route53/latest/APIReference/api-enable-domain-auto-renew.html,'Route53Domains:listDomains'
EC2 LaunchWizard Security Groups,EC2,Compute,Ensures security groups created by the EC2 launch wizard are not used,The EC2 launch wizard frequently creates insecure security groups that are exposed publicly. These groups should not be used and custom security groups should be created instead.,Delete the launch wizard security group and replace it with a custom security group.,https://docs.aws.amazon.com/launchwizard/latest/userguide/launch-wizard-sap-security-groups.html,'EC2:describeSecurityGroups'
Open Redis,EC2,Compute,Determine if TCP port 6379 for Redis is open to the public,"While some ports such as HTTP and HTTPS are required to be open to the public to function properly, more sensitive services such as Redis should be restricted to known IP addresses.",Restrict TCP port 6379 to known IP addresses,http://docs.aws.amazon.com/AWSEC2/latest/UserGuide/authorizing-access-to-an-instance.html,"'EC2:describeSecurityGroups', 'EC2:describeNetworkInterfaces', 'Lambda:listFunctions'"
Excessive Security Groups,EC2,Compute,Determine if there are an excessive number of security groups in the account,"Keeping the number of security groups to a minimum helps reduce the attack surface of an account. Rather than creating new groups with the same rules for each project, common rules should be grouped under the same security groups. For example, instead of adding port 22 from a known IP to every group, create a single ""SSH"" security group which can be used on multiple instances.",Limit the number of security groups to prevent accidental authorizations,http://docs.aws.amazon.com/AWSEC2/latest/UserGuide/authorizing-access-to-an-instance.html,'EC2:describeSecurityGroups'
Open RPC,EC2,Compute,Determine if TCP port 135 for RPC is open to the public,"While some ports such as HTTP and HTTPS are required to be open to the public to function properly, more sensitive services such as RPC should be restricted to known IP addresses.",Restrict TCP port 135 to known IP addresses,http://docs.aws.amazon.com/AWSEC2/latest/UserGuide/authorizing-access-to-an-instance.html,"'EC2:describeSecurityGroups', 'EC2:describeNetworkInterfaces', 'Lambda:listFunctions'"
Open Cassandra Client,EC2,Compute,Determine if TCP port 9042 for Cassandra Client is open to the public,"While some ports such as HTTP and HTTPS are required to be open to the public to function properly, more sensitive services such as Cassandra Client should be restricted to known IP addresses.",Restrict TCP port 9042 to known IP addresses,http://docs.aws.amazon.com/AWSEC2/latest/UserGuide/authorizing-access-to-an-instance.html,"'EC2:describeSecurityGroups', 'EC2:describeNetworkInterfaces', 'Lambda:listFunctions'"
Instance IAM Role,EC2,Compute,Ensures EC2 instances are using an IAM role instead of hard-coded AWS credentials,IAM roles should be assigned to all instances to enable them to access AWS resources. Using an IAM role is more secure than hard-coding AWS access keys into application code.,Attach an IAM role to the EC2 instance,http://docs.aws.amazon.com/AWSEC2/latest/UserGuide/iam-roles-for-amazon-ec2.html,'EC2:describeInstances'
VPC PrivateLink Endpoint Acceptance Required,EC2,Compute,Ensures VPC PrivateLink endpoints require acceptance,VPC PrivateLink endpoints should be configured to require acceptance so that access to the endpoint is controlled on a case-by-case basis.,Update the VPC PrivateLink endpoint to require acceptance,https://docs.aws.amazon.com/vpc/latest/userguide/accept-reject-endpoint-requests.html,"'EC2:describeVpcEndpointServices', 'EC2:describeVpcEndpointServicePermissions'"
Instance Limit,EC2,Compute,Determine if the number of EC2 instances is close to the AWS per-account limit,AWS limits accounts to certain numbers of resources. Exceeding those limits could prevent resources from launching.,Contact AWS support to increase the number of instances available,http://docs.aws.amazon.com/AWSEC2/latest/UserGuide/elastic-ip-addresses-eip.html#using-instance-addressing-limit,"'EC2:describeAccountAttributes', 'EC2:describeInstances'"
Unused VPC Internet Gateways,EC2,Compute,Ensures that unused VPC Internet Gateways and Egress-Only Internet Gateways are removed.,Unused VPC Internet Gateways and Egress-Only Internet Gateways must be removed to avoid reaching the internet gateway limit.,Remove the unused/detached Internet Gateways and Egress-Only Internet Gateways,https://docs.aws.amazon.com/vpc/latest/userguide/VPC_Internet_Gateway.html,"'EC2:describeInternetGateways', 'EC2:describeEgressOnlyInternetGateways', 'STS:getCallerIdentity'"
Open Salt,EC2,Compute,Determine if TCP ports 4505 or 4506 for the Salt master are open to the public,"Active Salt vulnerabilities, CVE-2020-11651 and CVE-2020-11652 are exploiting Salt instances exposed to the internet. These ports should be closed immediately.",Restrict TCP ports 4505 and 4506 to known IP addresses,https://help.saltstack.com/hc/en-us/articles/360043056331-New-SaltStack-Release-Critical-Vulnerability,"'EC2:describeSecurityGroups', 'EC2:describeNetworkInterfaces', 'Lambda:listFunctions'"
Open Internal Web,EC2,Compute,Determine if TCP port 8080 for internal web is open to the public,Internal web port 8080 is used for web applications and proxy services. Allowing Inbound traffic from any IP address to TCP port 8080 is vulnerable to exploits like backdoor trojan attacks. It is a best practice to block port 8080 from the public internet.,Restrict TCP port 8080 to known IP addresses,http://docs.aws.amazon.com/AWSEC2/latest/UserGuide/authorizing-access-to-an-instance.html,"'EC2:describeSecurityGroups', 'EC2:describeNetworkInterfaces', 'Lambda:listFunctions'"
Public IP Address EC2 Instances,EC2,Compute,Ensures that EC2 instances do not have public IP address attached.,EC2 instances should not have a public IP address attached in order to block public access to the instances.,Remove the public IP address from the EC2 instances to block public access to the instance,https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/using-instance-addressing.html,"'EC2:describeInstances', 'STS:getCallerIdentity', 'EC2:describeSecurityGroups'"
Open Oracle,EC2,Compute,Determine if TCP port 1521 for Oracle is open to the public,While some ports such as HTTP and HTTPS are required to be open,Restrict TCP ports 1521 to known IP addresses,http://docs.aws.amazon.com/AWSEC2/latest/UserGuide/authorizing-access-to-an-instance.html,"'EC2:describeSecurityGroups', 'EC2:describeNetworkInterfaces', 'Lambda:listFunctions'"
VPC Subnet Instances Present,EC2,Compute,Ensures that there are instances attached to every subnet.,All subnets should have instances associated and unused subnets should be removed to avoid reaching the limit.,Update VPC subnets and attach instances to it or remove the unused VPC subnets,https://docs.aws.amazon.com/vpc/latest/userguide/vpc-endpoints-access.html,"'EC2:describeInstances', 'EC2:describeSubnets'"
Managed NAT Gateway In Use,EC2,Compute,Ensure AWS VPC Managed NAT (Network Address Translation) Gateway service is enabled for high availability (HA).,VPCs should use highly available Managed NAT Gateways in order to enable EC2 instances to connect to the internet or with other AWS components.,Update VPCs to use Managed NAT Gateways instead of NAT instances,https://aws.amazon.com/blogs/aws/new-managed-nat-network-address-translation-gateway-for-aws/,"'EC2:describeVpcs', 'EC2:describeNatGateways', 'STS:getCallerIdentity'"
EBS Volumes Too Old Snapshots,EC2,Compute,Ensure that EBS volume snapshots are deleted after defined time period.,EBS volume snapshots older than indicated should be deleted after defined time period for cost optimization.,Delete the EBS snapshots past their defined expiration date,https://docs.amazonaws.cn/en_us/AWSEC2/latest/UserGuide/ebs-deleting-snapshot.html,'EC2:describeSnapshots'
EBS Encryption Enabled By Default,EC2,Compute,Ensure the setting for encryption by default is enabled,AWS account should be configured to enable encryption for new EBS volumes and snapshots for all regions.,Enable EBS Encryption by Default,https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/EBSEncryption.html#encryption-by-default,"'EC2:getEbsEncryptionByDefault', 'EC2:getEbsDefaultKmsKeyId', 'KMS:describeKey', 'KMS:listKeys', 'KMS:listAliases'"
EBS Encryption Enabled,EC2,Compute,Ensures EBS volumes are encrypted at rest,"EBS volumes should have at-rest encryption enabled through AWS using KMS. If the volume is used for a root volume, the instance must be launched from an AMI that has been encrypted as well.",Enable encryption for EBS volumes.,http://docs.aws.amazon.com/AWSEC2/latest/UserGuide/EBSEncryption.html,"'EC2:describeVolumes', 'KMS:describeKey', 'KMS:listKeys',  'STS:getCallerIdentity'"
Unused Virtual Private Gateway,EC2,Compute,Ensures that unused Virtual Private Gateways (VGWs) are removed.,Unused VGWs should be remove to follow best practices and to avoid reaching the service limit.,Remove the unused Virtual Private Gateways (VGWs),https://docs.aws.amazon.com/vpn/latest/s2svpn/delete-vpn.html,"'EC2:describeVpnGateways', 'STS:getCallerIdentity'"
Open CIFS,EC2,Compute,Determine if UDP port 445 for CIFS is open to the public,"While some ports such as HTTP and HTTPS are required to be open to the public to function properly, more sensitive services such as CIFS should be restricted to known IP addresses.",Restrict UDP port 445 to known IP addresses,http://docs.aws.amazon.com/AWSEC2/latest/UserGuide/authorizing-access-to-an-instance.html,"'EC2:describeSecurityGroups', 'EC2:describeNetworkInterfaces', 'Lambda:listFunctions'"
Unrestricted Network ACL Outbound Traffic,EC2,Compute,Ensures that no Amazon Network ACL allows outbound/egress traffic to all ports.,Amazon Network ACL should not allow outbound/egress traffic to all ports to avoid unauthorized access at the subnet level.,Update Network ACL to allow outbound/egress traffic to specific port ranges only,https://docs.aws.amazon.com/vpc/latest/userguide/vpc-network-acls.html,"'EC2:describeNetworkAcls', 'STS:getCallerIdentity'"
Open Memcached,EC2,Compute,Determine if TCP or UDP port 11211 for Memcached is open to the public,"While some ports such as HTTP and HTTPS are required to be open to the public to function properly, more sensitive services such as Memcached should be restricted to known IP addresses.",Restrict TCP and UDP port 11211 to known IP addresses,http://docs.aws.amazon.com/AWSEC2/latest/UserGuide/authorizing-access-to-an-instance.html,"'EC2:describeSecurityGroups', 'EC2:describeNetworkInterfaces', 'Lambda:listFunctions'"
Unused Elastic Network Interfaces,EC2,Compute,Ensures that unused AWS Elastic Network Interfaces (ENIs) are removed.,Unused AWS ENIs should be removed to follow best practices and to avoid reaching the service limit.,Delete the unused AWS Elastic Network Interfaces,https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/using-eni.html,"'EC2:describeNetworkInterfaces', 'STS:getCallerIdentity'"
Open LDAPS,EC2,Compute,Determine if TCP port 636 for LDAP SSL is open to the public,LDAP SSL port 636 is used for Secure LDAP authentication. Allowing Inbound traffic from any IP address to TCP port 636 is vulnerable to DoS attacks. It is a best practice to block port 636 from the public internet.,Restrict TCP port 636 to known IP addresses.,http://docs.aws.amazon.com/AWSEC2/latest/UserGuide/authorizing-access-to-an-instance.html,"'EC2:describeSecurityGroups', 'EC2:describeNetworkInterfaces', 'Lambda:listFunctions'"
Subnet IP Availability,EC2,Compute,Determine if a subnet is at risk of running out of IP addresses,Subnets have finite IP addresses. Running out of IP addresses could prevent resources from launching.,Add a new subnet with larger CIDR block and migrate resources.,http://docs.aws.amazon.com/AmazonVPC/latest/UserGuide/VPC_Subnets.html,"'EC2:describeSubnets', 'STS:getCallerIdentity'"
Open SMBoTCP,EC2,Compute,Determine if TCP port 445 for Windows SMB over TCP is open to the public,"While some ports such as HTTP and HTTPS are required to be open to the public to function properly, more sensitive services such as SMB should be restricted to known IP addresses.",Restrict TCP port 445 to known IP addresses,http://docs.aws.amazon.com/AWSEC2/latest/UserGuide/authorizing-access-to-an-instance.html,"'EC2:describeSecurityGroups', 'EC2:describeNetworkInterfaces', 'Lambda:listFunctions'"
